,0,1,2,3
intercept,1.2742695547229745,1.3292828384631408,1.0462854525964662,-3.649837845782585
age,0.050508410651917364,0.05293129490985005,0.024610260517689355,-0.1280499660794556
sex,0.09606303923249385,-0.16835822234295988,-0.22064686446290074,0.2929420475733649
cp,-4.392620206753236,-1.2023855573133218,1.570844303088841,4.024161460977716
trtbps,0.09776236194383141,-0.1759743010729535,-0.2276136349547153,0.30582557408383876
chol,-0.22105987200132954,0.16780675367305273,0.04515084281249953,0.008102275515777314
fbs,-0.18963750362186246,0.016802998297173976,0.03888395696362241,0.1339505483610655
restecg,-0.08405336098115278,0.0890862717832762,0.0826538082442247,-0.0876867190463489
thalachh,-0.2867463514622718,0.328199366966707,-0.16983684543615515,0.1283838299317198
exng,0.26390373355497876,-0.046511789923675155,-0.4437169182442205,0.22632497461291656
oldpeak,0.23600333219367853,-0.48792271196454107,-0.15403109693875938,0.4059504767096232
slp,-0.03494101953653607,-0.06311722311804988,-0.18493544303973958,0.2829936856943246
caa,0.018516556993599286,-0.0531824846545004,0.10330965893706803,-0.06864373127616688
thall,0.14268946584214745,-0.18813203267409376,-0.08808463667795403,0.1335272035098981
